+----------------------------------+----------------------+
| Traffic                          |   Number of traffics |
|----------------------------------+----------------------|
| 184.30.179.172 -> 192.168.30.108 |                  327 |
| 192.168.30.108 -> 205.188.58.10  |                  265 |
| 192.168.30.108 -> 64.12.168.40   |                  251 |
| 192.168.30.108 -> 184.30.179.172 |                  191 |
| 205.188.58.10 -> 192.168.30.108  |                  166 |
| 64.12.168.40 -> 192.168.30.108   |                  154 |
| 192.168.30.30 -> 10.30.30.20     |                  130 |
| 192.168.30.108 -> 10.30.30.20    |                  126 |
| 10.30.30.20 -> 192.168.30.108    |                  126 |
| 216.34.181.45 -> 192.168.30.108  |                   70 |
| 74.125.224.122 -> 192.168.30.108 |                   63 |
| 74.125.224.123 -> 192.168.30.108 |                   47 |
| 192.168.30.101 -> 192.168.30.255 |                   45 |
| 192.168.30.102 -> 192.168.30.255 |                   45 |
| 74.125.224.60 -> 192.168.30.108  |                   44 |
| 10.30.30.20 -> 172.30.1.5        |                   38 |
| 172.30.1.5 -> 10.30.30.20        |                   38 |
| 192.168.30.108 -> 216.34.181.45  |                   37 |
| 192.168.30.108 -> 192.168.30.255 |                   36 |
| 192.168.30.108 -> 74.125.224.123 |                   35 |
| 192.168.30.108 -> 74.125.224.122 |                   35 |
| 192.168.30.108 -> 74.125.224.60  |                   33 |
| 174.137.114.45 -> 192.168.30.108 |                   33 |
| 192.168.30.108 -> 174.137.114.45 |                   26 |
| 216.137.45.111 -> 192.168.30.108 |                   20 |
| 192.168.30.108 -> 216.137.45.111 |                   16 |
| 74.125.224.105 -> 192.168.30.108 |                   12 |
| 74.125.224.52 -> 192.168.30.108  |                   10 |
| 192.168.30.108 -> 74.125.224.105 |                    9 |
| 174.137.114.42 -> 192.168.30.108 |                    8 |
| 192.168.30.108 -> 174.137.114.42 |                    7 |
| 192.168.30.108 -> 224.0.0.22     |                    6 |
| 192.168.30.106 -> 192.168.30.108 |                    6 |
| 192.168.30.108 -> 209.107.213.96 |                    5 |
| 10.30.30.20 -> 10.30.30.255      |                    4 |
| 209.107.213.96 -> 192.168.30.108 |                    4 |
| 10.30.30.20 -> 192.168.30.30     |                    4 |
| 0.0.0.0 -> 255.255.255.255       |                    3 |
| 10.30.30.20 -> 91.189.94.4       |                    2 |
| 91.189.94.4 -> 10.30.30.20       |                    2 |
| 192.168.30.10 -> 192.168.30.108  |                    1 |
| 192.168.30.108 -> 64.4.10.44     |                    1 |
| 192.168.30.101 -> 192.168.30.10  |                    1 |
| 192.168.30.10 -> 192.168.30.101  |                    1 |
| 192.168.30.106 -> 192.168.30.10  |                    1 |
| 192.168.30.10 -> 192.168.30.106  |                    1 |
| 192.168.30.102 -> 192.168.30.10  |                    1 |
| 192.168.30.10 -> 192.168.30.102  |                    1 |
+----------------------------------+----------------------+
